,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
0,Afghanistan,7.431500244140627,58.06757957295589,3.982854605,38.168040999999995,396.0,63.287997999999995,33.98,1928.0,10.09395812,-0.661709164713696,39.22043325002,19907111418.9938,51.6749287749288
1,Albania,1.532299995422363,42.857666015625206,4.6066508289999994,97.55390200000001,29.0,78.17400400000001,11.879000000000001,4.0,6.81974032,1.91001697792868,97.69065534071959,11386931489.7968,105.135145985401
2,Algeria,2.9577999114990234,17.4059294622839,,79.608398,140.0,75.860001,23.9,16.0,6.98289165,4.78444700693894,87.4876863565245,165979277276.90698,16.7405040012764
3,Angola,9.391500091552734,47.477340178070094,,71.164162,477.0,61.241001000000004,42.321000000000005,0.0,2.9504308,10.278046066107,39.429422840720704,116193649124.475,22.3464385978985
5,Argentina,1.4994999885559082,54.3357121193851,6.69713068,98.089973,52.0,76.415001,17.364,1.0,8.74331517,,94.8398814623159,594749285413.212,15.8650650968871
6,Armenia,1.455700016021729,58.8935704661707,4.34831953,99.768417,25.0,74.445,13.808,2.0,10.11762751,3.7316911926169505,91.58276665231091,10553337672.9872,102.456972251493
8,Australia,0.4157999992370607,47.6306574853885,7.309060574,,6.0,82.725998,12.9,14.0,9.33006717,1.50836672165921,100.0,1349034029453.37,3.10464105801648
9,Austria,0.3299000024795532,32.9417255251407,7.07644701,,4.0,81.41999799999999,9.8,0.0,10.34288459,0.896565315628228,99.9733750252992,381805676697.70703,104.730790203943
10,Azerbaijan,3.342399978637696,57.70175190092589,5.146774768999999,99.80526,25.0,71.920998,17.2,0.0,6.83903754,4.00943826686826,89.3490808342493,53074370486.0433,116.73107678163099
12,Bahrain,0.8166999816894531,11.0539846325564,6.00737524,95.717262,15.0,76.761002,15.110999999999999,18.0,4.97506622,1.8395198750359898,100.0,31125851063.8298,1779.3190661478602
13,Bangladesh,3.647900009155273,70.38672685238531,4.633473873,61.493832,176.0,72.154999,19.29,469.0,2.46311455,6.19428022984988,46.92459322988461,195078678697.23,1238.38738572636
15,Belarus,0.41160001754760733,42.24201571252429,5.718907832999999,99.722038,4.0,72.748001,12.5,0.0,6.06528028,13.534489764973399,94.2539798637126,56454734396.5842,46.767611256222
16,Belgium,0.3884000062942505,43.857331571994706,6.904219151,,7.0,80.96399699999999,10.8,0.0,10.10563808,0.561429152790106,99.4860606074059,455837758493.34796,372.33143989432
18,Benin,10.045800018310553,33.2564739269244,3.6246643069999998,38.447140000000005,405.0,60.638999999999996,37.431,0.0,3.99181962,0.273667816219823,13.9301122458203,8291155880.59505,93.7916991841078
19,Bhutan,3.2890998840332037,13.7891224996434,5.082128525,63.90681800000001,148.0,69.817001,18.46,0.0,3.65892296,4.548143950821929,62.87050065048761,2059809919.89325,20.6570821418265
20,Bolivia,6.556600189208986,34.7650696944521,5.834329127999999,95.141922,206.0,68.755997,23.549,0.0,6.42235639,4.05961041135646,52.6140267297645,33000198263.3864,9.90003230868642
21,Bosnia and Herzegovina,0.8144000053405762,42.5,5.1171779630000005,98.485764,11.0,76.735001,9.12,0.0,9.34804253,-1.02328504490745,94.7820992357338,16209702863.6235,69.06173828125
22,Botswana,3.841400146484375,45.6330167970197,3.761964798,88.224411,129.0,65.846001,24.14,0.0,5.96507028,3.0620316958055898,59.9559063382571,14406496463.6055,3.89814726589381
23,Brazil,1.65,33.9887821931674,6.546896935,92.586807,44.0,75.283997,14.405,5.0,11.4647339,9.029807185774901,86.14835205188679,1802214373741.32,24.6420983615972
24,Brunei,0.7280000209808349,2.73244774545167,,96.656532,23.0,77.045998,16.137999999999998,0.0,2.3870891,-0.4151219258563,96.33040521667441,12930394937.8137,79.22998102466791
25,Bulgaria,0.9190999984741212,46.1670956369174,4.865401268,98.38858,11.0,74.61799599999999,9.2,2.0,8.20309288,-0.104633261008417,85.9811123144257,50201314894.5817,66.12003500368459
26,Burkina Faso,8.992900085449222,44.225146198830394,4.418930054,37.7467,371.0,59.926998,39.436,6.0,5.82531598,0.9549933173779359,22.5320811837064,10419303761.3524,66.1938011695906
27,Burundi,11.59560012817383,79.1666666666667,,85.496094,712.0,57.094002,42.662,102.0,4.88310844,5.54468891259786,50.46031706594621,3104394858.11518,397.16783489096605
28,Cambodia,2.944599914550781,30.903013822796304,4.162164688,78.34594,161.0,68.620003,23.682,0.0,6.17148507,1.22127006080706,48.8254492739503,18049954289.4229,87.90865057783822
29,Cameroon,9.616600036621094,20.6257536333058,5.037964821,74.98558,596.0,57.582001,36.836999999999996,83.0,4.69952298,2.67623531419902,38.834985133672205,30916218544.4404,48.3055615493643
30,Canada,0.5217000007629395,6.890210624802741,7.412772655,,7.0,82.206001,10.7,5.0,10.37650812,1.12524136094279,98.5,1552521512853.35,3.9404490675217794
31,Cape Verde,2.501300048828125,19.6029776674938,,88.465424,42.0,72.59899899999999,21.144000000000002,0.0,5.31378574,0.131187999024475,65.2069638901171,1596800287.16405,132.236476426799
32,Central African Republic,13.91920013427734,8.15435487495586,,36.752609,882.0,51.41,36.113,48.0,6.30899109,37.1422148089365,25.086999751318196,1583776805.9656801,7.29734501910174
33,Chad,13.845500183105472,39.656130876747106,4.3226752280000005,40.018242,856.0,52.575001,43.864,27.0,4.54621344,3.66990043400558,9.548387843000011,10945989471.6286,11.1256456480305
35,Chile,0.8194000244140626,21.229751156063603,6.532749653,96.627548,22.0,79.315002,13.437000000000001,1.0,8.29995557,4.3487735321705,99.8882096998596,243999477737.94,23.8895985646885
36,China,1.224699974060059,56.2229572752744,5.303877831,96.357452,27.0,76.092003,12.07,17.0,4.88872272,1.4370245139476001,75.0372785640484,11064666282625.5,146.057646126616
37,Colombia,2.3625000000000003,40.257414657503396,6.387571812000001,94.577057,64.0,74.199997,15.479000000000001,136.0,6.0226695,4.99023427513779,84.4391972018127,293481748240.779,43.468857142857104
39,Congo,5.940200042724608,31.118594436310396,4.6908302310000005,79.311172,442.0,64.112,35.234,0.0,3.41535064,3.1690979675082405,15.0093285156156,8553154580.399509,14.6285446559297
40,Costa Rica,1.1093999862670902,34.8609479044262,6.8540043829999995,97.647247,25.0,79.634003,14.525,0.0,7.78042454,0.8018571624724979,97.1485496011427,54775994478.4981,94.160830395613
